"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="152239723740914828","【天猫男人节】美国进口gracelandfruit整粒蔓越莓果干果脯226.8gx2包零食烘焙","156.00","2","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","563768b459bbf959bbb4d6972239c1fc"
="138595380787688979","【天猫男人节】进口gracelandfruit整粒蔓越莓果干果脯蜜饯226gx2包零食烘焙*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","卖家已发货，等待买家确认","null"
="153304993207707985","【天猫男人节】美国进口gracelandfruit蓝莓果干果脯141gx2袋装休闲零食烘焙*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="153326051139707985","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","交易成功","8802534778002"
="153326051139707985","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","交易成功","8802534778019"
="153313815923986567","【天猫男人节】美国进口果瑞氏无添加糖蔓越莓果干果脯办公室休闲零食小吃113.4g","200.00","2","708390000326","食品口味：无糖蔓越莓113.4","null","null","卖家已发货，等待买家确认","708390000326"
="153313815923986567","【天猫男人节】美国进口gracelandfruit蓝莓果干果脯蜜饯141.7克*3袋装零食烘焙","234.00","2","null","组合套餐：(蓝莓干141.7克)*3","null","null","卖家已发货，等待买家确认","null"
="153311519093986567","gracelandfruit海外旗舰店满199元-100元店铺优惠券04/24-04/26","1.00","1","null","null","null","null","交易成功","null"
="138627329858441932","【天猫男人节】美国进口gracelandfruit蓝莓果干果脯141.7gx2袋装烘焙休闲零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","a1c18d039f688cfb0e79a6e41266f24c"
="153247453492027081","【天猫男人节】进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","2","8802534778002","食品口味：蓝莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778002"
