单号,货品编码,货品名称,仓库名称,出入库时间,单据类型,库存类型,出入数量,结存数量,ERP订单号,外部流水号
LBX0325661729765477,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:58:44,交易出库,可销售库存,-4,30,152170003492040929,152170003492040929
LBX0325661729533223,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:58:32,交易出库,可销售库存,-2,1617,151802333878442125,151802333878442125
LBX0325661729732963,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:58:32,交易出库,可销售库存,-2,1615,138690051689172739,138690051689172739
LBX0325661729618459,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:58:32,交易出库,可销售库存,-2,34,153229086875846865,153229086875846865
LBX0325661729619141,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:58:21,交易出库,可销售库存,-2,36,153228163066687179,153228163066687179
LBX0325661729662855,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:57:47,交易出库,可销售库存,-2,1228,138681119913947259,138681119913947259
LBX0325661729618575,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 09:57:13,交易出库,可销售库存,-2,13,152155555271544220,152155555271544220
LBX0325661729785231,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 09:57:13,交易出库,可销售库存,-2,11,138603081436051356,138603081436051356
LBX0325661729749922,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:56:50,交易出库,可销售库存,-1,1230,152022750115677725,152022750115677725
LBX0325661729749922,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:56:50,交易出库,可销售库存,-1,1619,152022750115677725,152022750115677725
LBX0325661728831678,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:46:59,交易出库,可销售库存,-1,1231,138517710073227426,138517710073227426
LBX0325661728968876,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 09:44:32,交易出库,可销售库存,-4,19,151930462336432407,151930462336432407
LBX0325661728968876,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 09:44:32,交易出库,可销售库存,-4,15,151930462336432407,151930462336432407
LBX0325661728966886,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:42:27,交易出库,可销售库存,-2,1620,138541986496213219,138541986496213219
LBX0325661729093481,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:42:27,交易出库,可销售库存,-1,1232,153130554000193371,153130554000193371
LBX0325661729152482,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:42:16,交易出库,可销售库存,-2,1622,153155643044314881,153155643044314881
LBX0325661729016156,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-26 09:42:05,交易出库,可销售库存,-1,171,153171936499279086,153171936499279086
LBX0325661729149458,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:41:30,交易出库,可销售库存,-1,1233,138622711040973559,138622711040973559
LBX0325661729511659,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:40:33,交易出库,可销售库存,-2,1234,151997242285442125,151997242285442125
LBX0325661729423806,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-26 09:39:37,交易出库,可销售库存,-2,40,138502308065202759,138502308065202759
LBX0325661729268294,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 09:39:03,交易出库,可销售库存,-2,23,151771785224616627,151771785224616627
LBX0325661728909272,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:38:41,交易出库,可销售库存,-2,1236,153102777660971075,153102777660971075
LBX0325661728844637,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-26 09:38:30,交易出库,可销售库存,-1,1624,153146988785041582,153146988785041582
LBX0325661728798951,XY521078064529,Graceland Fruit 酸樱桃果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:38:18,交易出库,可销售库存,-2,398,152065003845744309,152065003845744309
LBX0325661729475487,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 09:37:33,交易出库,可销售库存,-2,25,138506648214519543,138506648214519543
LBX0325661728892535,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 09:37:11,交易出库,可销售库存,-2,27,153154436385105466,153154436385105466
LBX0325661729489424,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:29:54,交易出库,可销售库存,-2,38,153192657644765164,153192657644765164
LBX0325661728932970,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:28:57,交易出库,可销售库存,-4,42,153162304254899483,153162304254899483
LBX0325661729247952,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:28:57,交易出库,可销售库存,-2,40,151798356215622105,151798356215622105
LBX0325661729464886,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:28:34,交易出库,可销售库存,-2,46,153195821002034094,153195821002034094
LBX0325661729011202,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:28:22,交易出库,可销售库存,-3,50,138513929655990718,138513929655990718
LBX0325661729482381,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:28:22,交易出库,可销售库存,-2,48,138506060171493852,138506060171493852
LBX0325661729147631,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:28:22,交易出库,可销售库存,-3,53,151948634708712614,151948634708712614
LBX0325661729139304,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:27:26,交易出库,可销售库存,-3,56,138463500533589437,138463500533589437
LBX0325661729482763,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-26 09:27:04,交易出库,可销售库存,-2,59,153251764660034094,153251764660034094
